"id","codi_estacio","codi_variable","data_lectura","data_extrem","valor_lectura","codi_estat","codi_base"
"X4440101091900","X4","44","2009-01-01T19:00:00.000","2009-01-01T19:58:00.000","74","V","HO"
"X4500101091900","X4","50","2009-01-01T19:00:00.000","2009-01-01T19:29:00.000","2.4","V","HO"
"X4510101091900","X4","51","2009-01-01T19:00:00.000",,"36","V","HO"
"X4400101091900","X4","40","2009-01-01T19:00:00.000","2009-01-01T19:18:00.000","12.9","V","HO"
"X4330101091900","X4","33","2009-01-01T19:00:00.000",,"74","V","HO"
"X4340101091900","X4","34","2009-01-01T19:00:00.000",,"1016","V","HO"
"X4350101091900","X4","35","2009-01-01T19:00:00.000",,"0","V","HO"
"X4360101091900","X4","36","2009-01-01T19:00:00.000",,"0","V","HO"
"X4320101091900","X4","32","2009-01-01T19:00:00.000",,"12.9","V","HO"
"X4400101092000","X4","40","2009-01-01T20:00:00.000","2009-01-01T20:38:00.000","13","V","HO"
"X4330101092000","X4","33","2009-01-01T20:00:00.000",,"72","V","HO"
"X4350101092000","X4","35","2009-01-01T20:00:00.000",,"0","V","HO"
"X4340101092000","X4","34","2009-01-01T20:00:00.000",,"1016","V","HO"
"X4360101092000","X4","36","2009-01-01T20:00:00.000",,"0","V","HO"
"X4320101092000","X4","32","2009-01-01T20:00:00.000",,"12.9","V","HO"
"X4420101092000","X4","42","2009-01-01T20:00:00.000","2009-01-01T20:58:00.000","12.8","V","HO"
"X4440101092000","X4","44","2009-01-01T20:00:00.000","2009-01-01T20:42:00.000","71","V","HO"
"X4500101092000","X4","50","2009-01-01T20:00:00.000","2009-01-01T20:40:00.000","3.1","V","HO"
"X4510101092000","X4","51","2009-01-01T20:00:00.000",,"30","V","HO"
"X4330101092100","X4","33","2009-01-01T21:00:00.000",,"72","V","HO"
"X4320101092100","X4","32","2009-01-01T21:00:00.000",,"12.8","V","HO"
"X4340101092100","X4","34","2009-01-01T21:00:00.000",,"1016","V","HO"
"X4350101092100","X4","35","2009-01-01T21:00:00.000",,"0","V","HO"
"X4360101092100","X4","36","2009-01-01T21:00:00.000",,"0","V","HO"
"X4500101092100","X4","50","2009-01-01T21:00:00.000","2009-01-01T21:38:00.000","2.7","V","HO"
"X4440101092100","X4","44","2009-01-01T21:00:00.000","2009-01-01T21:00:00.000","72","V","HO"
"X4420101092100","X4","42","2009-01-01T21:00:00.000","2009-01-01T21:07:00.000","12.8","V","HO"
"X4400101092100","X4","40","2009-01-01T21:00:00.000","2009-01-01T21:49:00.000","12.8","V","HO"
"X4510101092100","X4","51","2009-01-01T21:00:00.000",,"1","V","HO"
"X4420101092200","X4","42","2009-01-01T22:00:00.000","2009-01-01T22:58:00.000","12.5","V","HO"
"X4440101092200","X4","44","2009-01-01T22:00:00.000","2009-01-01T22:00:00.000","73","V","HO"
"X4500101092200","X4","50","2009-01-01T22:00:00.000","2009-01-01T22:21:00.000","3","V","HO"
"X4510101092200","X4","51","2009-01-01T22:00:00.000",,"40","V","HO"
"X4360101092200","X4","36","2009-01-01T22:00:00.000",,"0","V","HO"
"X4340101092200","X4","34","2009-01-01T22:00:00.000",,"1016","V","HO"
"X4330101092200","X4","33","2009-01-01T22:00:00.000",,"74","V","HO"
"X4320101092200","X4","32","2009-01-01T22:00:00.000",,"12.7","V","HO"
"X4400101092200","X4","40","2009-01-01T22:00:00.000","2009-01-01T22:00:00.000","12.8","V","HO"
"X4350101092200","X4","35","2009-01-01T22:00:00.000",,"0","V","HO"
"X4440101092300","X4","44","2009-01-01T23:00:00.000","2009-01-01T23:22:00.000","74","V","HO"
"X4500101092300","X4","50","2009-01-01T23:00:00.000","2009-01-01T23:52:00.000","3.2","V","HO"
"X4510101092300","X4","51","2009-01-01T23:00:00.000",,"13","V","HO"
"X4350101092300","X4","35","2009-01-01T23:00:00.000",,"0","V","HO"
"X4320101092300","X4","32","2009-01-01T23:00:00.000",,"12.4","V","HO"
"X4330101092300","X4","33","2009-01-01T23:00:00.000",,"74","V","HO"
"X4420101092300","X4","42","2009-01-01T23:00:00.000","2009-01-01T23:57:00.000","12.3","V","HO"
"X4400101092300","X4","40","2009-01-01T23:00:00.000","2009-01-01T23:00:00.000","12.5","V","HO"
"X4360101092300","X4","36","2009-01-01T23:00:00.000",,"0","V","HO"
"X4340101092300","X4","34","2009-01-01T23:00:00.000",,"1015","V","HO"
